feedback,sentiment_label,ratings,sentiment_desc,clean_text,text_length
"Good and clean hospital. There is great team of doctors and good OT facility. The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster. ",1,5,Positive,good clean hospital great team doctor good ot facility medical facility great good inpatient post operative care doctor nurse housekeeping staff also good respond call room little faster,28
Had a really bad experience during discharge. They need to be sensitive and more transparent towards the patient and his/her family. ,1,5,Positive,really bad experience discharge need sensitive transparent towards patient hisher family,11
I have visited to take my second dose and Process was really smooth. Hospitality from all staffs are really appreciable. Shanti tooks good care and provide all details before vaccination. Thank you.,1,4,Positive,visited take second dose process really smooth hospitality staff really appreciable shanti tooks good care provide detail vaccination thank,19
" That person was slightly clueless and offered only one package. But once i got to the hospital, I found a better and more economical one and decided to go ahead",1,3,Positive,person slightly clueless offered one package got hospital found better economical one decided go ahead,15
There is great team of doctors and good OT facility.,0,1,Negative,great team doctor good ot facility,6
"My primary concern arose from the insistence on conducting multiple tests, which appeared unrelated to my condition, before initiating any treatment.",0,2,Negative,primary concern arose insistence conducting multiple test appeared unrelated condition initiating treatment,12
"Good and clean hospital.  The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster.",1,5,Positive,good clean hospital medical facility great good inpatient post operative care doctor nurse housekeeping staff also good respond call room little faster,22
"Recently underwent a surgery for my left shoulder, the doctors are extremely good, but the management needs to be more patient oriented than money minded.",1,3,Positive,recently underwent surgery left shoulder doctor extremely good management need patient oriented money minded,14
"Over all experience was good, starting from reception,lab services and doctors interaction.Doctor with whom I have had consultation was so nice.He heard me with patience and clarified all my health condition.",1,5,Positive,experience good starting receptionlab service doctor interactiondoctor consultation nicehe heard patience clarified health condition,14
"However,the services of front office (where we report first) need to be improved( services should be fast).",1,5,Positive,howeverthe service front office report first need improved service fast,10
"Other wise no complaints, fully satisfied.",1,4,Positive,wise complaint fully satisfied,4
Thanks to the Emergency doctor abhishek and Thanks to the security guard there,1,5,Positive,thanks emergency doctor abhishek thanks security guard,7
They have expert doctors who gives the right medicines and helps the patients recover fast.,1,5,Positive,expert doctor give right medicine help patient recover fast,9
I really liked the service there!,1,4,Positive,really liked service,3
Hopeless hospital. I don't know how they have got JCI and NABH. They have no value for patients or their attendants time.,0,2,Negative,hopeless hospital dont know got jci nabh value patient attendant time,11
Receptionists only want money. They don't care if the doctor is 2 hrs late but give them money.,0,1,Negative,receptionist want money dont care doctor hr late give money,10
I went for my father. He has tracheostomy n all issues. They made him wait for 1 hour n said wait if you want to or go.,0,2,Negative,went father tracheostomy n issue made wait hour n said wait want go,13
"I called them to book an appointment, i requested for a senior doctor and seeked their years of experience, they don't want to share it, transparency is not there. when i called Appolo they give all the detail's,experience and i feel comfortable while choosing Doctor. Fortis,pls have transperency and it is right of a patient.",0,1,Negative,called book appointment requested senior doctor seeked year experience dont want share transparency called appolo give detailsexperience feel comfortable choosing doctor fortispls transperency right patient,25
I was having menopause related issues and went to see a gynecologist. ,1,5,Positive,menopause related issue went see gynecologist,6
I really liked the service there!,1,5,Positive,really liked service,3
Thanks to the Emergency doctor abhishek and Thanks to the security guard there,1,4,Positive,thanks emergency doctor abhishek thanks security guard,7
Say hello with folded hands.and Take the patient sitting in the wheel chair ...,1,5,Positive,say hello folded handsand take patient sitting wheel chair,9
I noticed the price there is a bit high. But the treatment is very good and the behavior of the doctor is also very good.so I don't think such a hospital is anywhere near HRS Layout.,1,4,Positive,noticed price bit high treatment good behavior doctor also goodso dont think hospital anywhere near hr layout,17
"Good experience, polite staff and timely service, well organized and hygienic",1,5,Positive,good experience polite staff timely service well organized hygienic,9
a very nice experience during our stay and Treatment in the Fortis Hospital from 27-7-2023 to 3-8-2023. We felt like staying in our own home. Dr.Rajkumar Deshpande and his team Done the C1& C2 Surgical Spine Replacement under O arm Machine successfully .Doctors and other supporting staff for their wonderful services.,1,5,Positive,nice experience stay treatment fortis hospital felt like staying home drrajkumar deshpande team done c c surgical spine replacement arm machine successfully doctor supporting staff wonderful service,27
"Highly experienced doctors. Their analysis, interactions and treatment are excellent. ",1,5,Positive,highly experienced doctor analysis interaction treatment excellent,7
The rooms are very neat and clean. Very good house keeping. ,1,4,Positive,room neat clean good house keeping,6
The staff nurses are down to earth. Their caring and hospitality is highly appreciable. ,1,5,Positive,staff nurse earth caring hospitality highly appreciable,7
"Overall, the services from admission till discharge is excellent.",1,5,Positive,overall service admission till discharge excellent,6
We loved the hospitality of the staff members and doctors. They are so hardworking and put efforts to ensure good health and safety of the patients. Dr. Gayathri is an excellent doctor who also provides you guidance and emotional support,1,5,Positive,loved hospitality staff member doctor hardworking put effort ensure good health safety patient dr gayathri excellent doctor also provides guidance emotional support,22
"The hospital service has been really good. The patient has been taken good care overall right from the consultation until the discharge, everything is seamless and hassle free. We went with the insurance and the processing time was quick.",1,5,Positive,hospital service really good patient taken good care overall right consultation discharge everything seamless hassle free went insurance processing time quick,21
"Dr. Sashidhara, cardiologist took every effort to diagnose the problem and suggested for the bypass and later the Surgeon ",1,5,Positive,dr sashidhara cardiologist took every effort diagnose problem suggested bypass later surgeon,12
"Dr. Murali Manohar took care of the operation with great confidence. Overall, it was a good experience throughout.",1,5,Positive,dr murali manohar took care operation great confidence overall good experience throughout,12
